ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-01 02:00:00,8,3,0,16,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-02 12:00:00,1424,13,15,508,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 11:00:00,1074,12,13,477,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 09:00:00,837,10,12,352,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 19:00:00,373,20,12,287,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 17:00:00,845,18,9,225,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 18:00:00,459,19,8,316,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 07:00:00,104,8,8,92,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 20:00:00,276,21,6,206,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 15:00:00,908,16,5,462,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 06:00:00,45,7,5,32,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 16:00:00,977,17,4,340,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 13:00:00,1097,14,3,428,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 14:00:00,903,15,3,372,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 05:00:00,19,6,3,8,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 08:00:00,644,9,2,280,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 21:00:00,251,22,2,223,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 10:00:00,1399,11,1,406,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 22:00:00,114,23,1,96,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 04:00:00,5,5,1,14,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 23:00:00,136,0,0,62,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 01:00:00,7,2,0,15,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 00:00:00,27,1,0,10,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
